
========================================================================
  SpongeBob (SHA3-512 chain, seed=00..3f)
========================================================================

  ── NIST SP 800-22 (1000000 bits) ──
  [PASS] nist::non_overlapping_template                    p = 0.392493  (B=011011111, N=8, M=125000, χ²=8.4315)
  [PASS] nist::non_overlapping_template                    p = 0.800158  (B=011101111, N=8, M=125000, χ²=4.5920)
  [PASS] nist::non_overlapping_template                    p = 0.323085  (B=011111111, N=8, M=125000, χ²=9.2322)
  [PASS] nist::non_overlapping_template                    p = 0.543099  (B=100000000, N=8, M=125000, χ²=6.9402)
  [PASS] nist::non_overlapping_template                    p = 0.340578  (B=100010000, N=8, M=125000, χ²=9.0204)
  [PASS] nist::non_overlapping_template                    p = 0.326793  (B=100100000, N=8, M=125000, χ²=9.1867)
  [PASS] nist::non_overlapping_template                    p = 0.342630  (B=100101000, N=8, M=125000, χ²=8.9960)
  [PASS] nist::non_overlapping_template                    p = 0.511317  (B=100110000, N=8, M=125000, χ²=7.2368)
  [PASS] nist::non_overlapping_template                    p = 0.082109  (B=100111000, N=8, M=125000, χ²=13.9868)
  [PASS] nist::non_overlapping_template                    p = 0.100286  (B=101000000, N=8, M=125000, χ²=13.3524)
  [PASS] nist::non_overlapping_template                    p = 0.589340  (B=101000100, N=8, M=125000, χ²=6.5186)
  [PASS] nist::non_overlapping_template                    p = 0.968633  (B=101001000, N=8, M=125000, χ²=2.3434)
  [PASS] nist::non_overlapping_template                    p = 0.337029  (B=101001100, N=8, M=125000, χ²=9.0628)
  [PASS] nist::non_overlapping_template                    p = 0.643237  (B=101010000, N=8, M=125000, χ²=6.0357)
  [PASS] nist::non_overlapping_template                    p = 0.023748  (B=101010100, N=8, M=125000, χ²=17.6812)
  [PASS] nist::non_overlapping_template                    p = 0.354935  (B=101011000, N=8, M=125000, χ²=8.8520)
  [PASS] nist::non_overlapping_template                    p = 0.413620  (B=101011100, N=8, M=125000, χ²=8.2059)
  [PASS] nist::non_overlapping_template                    p = 0.045106  (B=101100000, N=8, M=125000, χ²=15.8150)
  [PASS] nist::non_overlapping_template                    p = 0.810081  (B=101100100, N=8, M=125000, χ²=4.4935)
  [PASS] nist::non_overlapping_template                    p = 0.563648  (B=101101000, N=8, M=125000, χ²=6.7517)
  [PASS] nist::non_overlapping_template                    p = 0.117179  (B=101101100, N=8, M=125000, χ²=12.8482)
  [PASS] nist::non_overlapping_template                    p = 0.996520  (B=101110000, N=8, M=125000, χ²=1.2122)
  [PASS] nist::non_overlapping_template                    p = 0.465172  (B=101110100, N=8, M=125000, χ²=7.6816)
  [PASS] nist::non_overlapping_template                    p = 0.107455  (B=101111000, N=8, M=125000, χ²=13.1300)
  [PASS] nist::non_overlapping_template                    p = 0.304085  (B=101111100, N=8, M=125000, χ²=9.4716)
  [PASS] nist::non_overlapping_template                    p = 0.844398  (B=110000000, N=8, M=125000, χ²=4.1387)
  [PASS] nist::non_overlapping_template                    p = 0.765604  (B=110000010, N=8, M=125000, χ²=4.9246)
  [PASS] nist::non_overlapping_template                    p = 0.785926  (B=110000100, N=8, M=125000, χ²=4.7308)
  [FAIL] nist::non_overlapping_template                    p = 0.004952  (B=110001000, N=8, M=125000, χ²=21.9804)
  [PASS] nist::non_overlapping_template                    p = 0.179266  (B=110001010, N=8, M=125000, χ²=11.4152)
  [PASS] nist::non_overlapping_template                    p = 0.520096  (B=110010000, N=8, M=125000, χ²=7.1541)
  [PASS] nist::non_overlapping_template                    p = 0.614561  (B=110010010, N=8, M=125000, χ²=6.2920)
  [PASS] nist::non_overlapping_template                    p = 0.669801  (B=110010100, N=8, M=125000, χ²=5.7984)
  [PASS] nist::non_overlapping_template                    p = 0.853961  (B=110011000, N=8, M=125000, χ²=4.0349)
  [PASS] nist::non_overlapping_template                    p = 0.561443  (B=110011010, N=8, M=125000, χ²=6.7718)
  [PASS] nist::non_overlapping_template                    p = 0.641576  (B=110100000, N=8, M=125000, χ²=6.0505)
  [PASS] nist::non_overlapping_template                    p = 0.625569  (B=110100010, N=8, M=125000, χ²=6.1935)
  [PASS] nist::non_overlapping_template                    p = 0.337294  (B=110100100, N=8, M=125000, χ²=9.0596)
  [PASS] nist::non_overlapping_template                    p = 0.582422  (B=110101000, N=8, M=125000, χ²=6.5811)
  [PASS] nist::non_overlapping_template                    p = 0.274280  (B=110101010, N=8, M=125000, χ²=9.8699)
  [PASS] nist::non_overlapping_template                    p = 0.704595  (B=110101100, N=8, M=125000, χ²=5.4860)
  [FAIL] nist::non_overlapping_template                    p = 0.002655  (B=110110000, N=8, M=125000, χ²=23.6179)
  [PASS] nist::non_overlapping_template                    p = 0.818175  (B=110110010, N=8, M=125000, χ²=4.4120)
  [PASS] nist::non_overlapping_template                    p = 0.741064  (B=110110100, N=8, M=125000, χ²=5.1534)
  [PASS] nist::non_overlapping_template                    p = 0.522357  (B=110111000, N=8, M=125000, χ²=7.1330)
  [PASS] nist::non_overlapping_template                    p = 0.791935  (B=110111010, N=8, M=125000, χ²=4.6725)
  [PASS] nist::non_overlapping_template                    p = 0.154887  (B=110111100, N=8, M=125000, χ²=11.9183)
  [PASS] nist::non_overlapping_template                    p = 0.864504  (B=111000000, N=8, M=125000, χ²=3.9173)
  [PASS] nist::non_overlapping_template                    p = 0.103407  (B=111000010, N=8, M=125000, χ²=13.2539)
  [FAIL] nist::non_overlapping_template                    p = 0.000152  (B=111000100, N=8, M=125000, χ²=30.8043)
  [PASS] nist::non_overlapping_template                    p = 0.269204  (B=111000110, N=8, M=125000, χ²=9.9408)
  [PASS] nist::non_overlapping_template                    p = 0.530869  (B=111001000, N=8, M=125000, χ²=7.0535)
  [PASS] nist::non_overlapping_template                    p = 0.943801  (B=111001010, N=8, M=125000, χ²=2.8433)
  [PASS] nist::non_overlapping_template                    p = 0.649762  (B=111001100, N=8, M=125000, χ²=5.9774)
  [PASS] nist::non_overlapping_template                    p = 0.977149  (B=111010000, N=8, M=125000, χ²=2.1189)
  [PASS] nist::non_overlapping_template                    p = 0.235104  (B=111010010, N=8, M=125000, χ²=10.4460)
  [PASS] nist::non_overlapping_template                    p = 0.443319  (B=111010100, N=8, M=125000, χ²=7.8998)
  [PASS] nist::non_overlapping_template                    p = 0.122283  (B=111010110, N=8, M=125000, χ²=12.7084)
  [PASS] nist::non_overlapping_template                    p = 0.113253  (B=111011000, N=8, M=125000, χ²=12.9594)
  [PASS] nist::non_overlapping_template                    p = 0.544591  (B=111011010, N=8, M=125000, χ²=6.9264)
  [PASS] nist::non_overlapping_template                    p = 0.398574  (B=111011100, N=8, M=125000, χ²=8.3658)
  [PASS] nist::non_overlapping_template                    p = 0.442900  (B=111100000, N=8, M=125000, χ²=7.9040)
  [PASS] nist::non_overlapping_template                    p = 0.392884  (B=111100010, N=8, M=125000, χ²=8.4273)
  [PASS] nist::non_overlapping_template                    p = 0.995358  (B=111100100, N=8, M=125000, χ²=1.3160)
  [PASS] nist::non_overlapping_template                    p = 0.879393  (B=111100110, N=8, M=125000, χ²=3.7447)
  [PASS] nist::non_overlapping_template                    p = 0.409202  (B=111101000, N=8, M=125000, χ²=8.2525)
  [PASS] nist::non_overlapping_template                    p = 0.298447  (B=111101010, N=8, M=125000, χ²=9.5447)
  [PASS] nist::non_overlapping_template                    p = 0.418776  (B=111101100, N=8, M=125000, χ²=8.1519)
  [PASS] nist::non_overlapping_template                    p = 0.139164  (B=111101110, N=8, M=125000, χ²=12.2795)
  [PASS] nist::non_overlapping_template                    p = 0.431362  (B=111110000, N=8, M=125000, χ²=8.0216)
  [PASS] nist::non_overlapping_template                    p = 0.987133  (B=111110010, N=8, M=125000, χ²=1.7757)
  [PASS] nist::non_overlapping_template                    p = 0.493945  (B=111110100, N=8, M=125000, χ²=7.4020)
  [PASS] nist::non_overlapping_template                    p = 0.273137  (B=111110110, N=8, M=125000, χ²=9.8857)
  [PASS] nist::non_overlapping_template                    p = 0.597805  (B=111111000, N=8, M=125000, χ²=6.4424)
  [PASS] nist::non_overlapping_template                    p = 0.170982  (B=111111010, N=8, M=125000, χ²=11.5794)
  [PASS] nist::non_overlapping_template                    p = 0.606174  (B=111111100, N=8, M=125000, χ²=6.3672)
  [PASS] nist::non_overlapping_template                    p = 0.323085  (B=111111110, N=8, M=125000, χ²=9.2322)
  [PASS] nist::serial_delta1                               p = 0.660870  (n=1000000, m=3, ∇²ψ²=2.4097)
  [PASS] nist::serial_delta2                               p = 0.923932  (n=1000000, m=3, ∇ψ²=3.1598)
  [PASS] maurer::universal_l06                             p = 0.555226  (n=1000000, L=6, Q=640, K=166026, f_n=5.2191, μ=5.2177, σ=0.002395)
  [PASS] maurer::universal_l07                             p = 0.816448  (n=1000000, L=7, Q=1280, K=141577, f_n=6.1969, μ=6.1963, σ=0.002770)
  [PASS] maurer::universal_l08                             p = 0.278661  (n=1000000, L=8, Q=2560, K=122440, f_n=7.1871, μ=7.1837, σ=0.003133)
  [PASS] maurer::universal_l09                             p = 0.692329  (n=1000000, L=9, Q=5120, K=105991, f_n=8.1778, μ=8.1764, σ=0.003514)
  [PASS] maurer::universal_l10                             p = 0.838093  (n=1000000, L=10, Q=10240, K=89760, f_n=9.1715, μ=9.1723, σ=0.003975)
  [PASS] maurer::universal_l11                             p = 0.786738  (n=1000000, L=11, Q=20480, K=70429, f_n=10.1713, μ=10.1700, σ=0.004679)
  [PASS] maurer::universal_l12                             p = 0.471734  (n=1000000, L=12, Q=40960, K=42373, f_n=11.1733, μ=11.1688, σ=0.006359)
  [SKIP] maurer::universal_l13                             p = N/A  (n too small for L=13, Q=81920 (need > 1064973 bits))
  [SKIP] maurer::universal_l14                             p = N/A  (n too small for L=14, Q=163840 (need > 2293774 bits))
  [SKIP] maurer::universal_l15                             p = N/A  (n too small for L=15, Q=327680 (need > 4915215 bits))
  [SKIP] maurer::universal_l16                             p = N/A  (n too small for L=16, Q=655360 (need > 10485776 bits))
  [PASS] nist::random_excursions                           p = 0.792934  (x=-4, J=748, χ²=2.3902)
  [PASS] nist::random_excursions                           p = 0.345370  (x=-3, J=748, χ²=5.6162)
  [PASS] nist::random_excursions                           p = 0.722498  (x=-2, J=748, χ²=2.8539)
  [PASS] nist::random_excursions                           p = 0.627437  (x=-1, J=748, χ²=3.4733)
  [PASS] nist::random_excursions                           p = 0.885786  (x=1, J=748, χ²=1.7246)
  [PASS] nist::random_excursions                           p = 0.181879  (x=2, J=748, χ²=7.5653)
  [PASS] nist::random_excursions                           p = 0.613208  (x=3, J=748, χ²=3.5674)
  [PASS] nist::random_excursions                           p = 0.294670  (x=4, J=748, χ²=6.1205)
  [PASS] nist::random_excursions_variant                   p = 0.954995  (x=-9, ξ(x)=739, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.904356  (x=-8, ξ(x)=730, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.688008  (x=-7, ξ(x)=692, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.349558  (x=-6, ξ(x)=628, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.227610  (x=-5, ξ(x)=608, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.395232  (x=-4, ξ(x)=661, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.367126  (x=-3, ξ(x)=670, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.204513  (x=-2, ξ(x)=663, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.408044  (x=-1, ξ(x)=716, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.876722  (x=1, ξ(x)=754, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.492307  (x=2, ξ(x)=794, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.398637  (x=3, ξ(x)=821, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.625124  (x=4, ξ(x)=798, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.749825  (x=5, ξ(x)=711, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.353588  (x=6, ξ(x)=629, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.347544  (x=7, ξ(x)=617, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.525964  (x=8, ξ(x)=653, J=748)
  [PASS] nist::random_excursions_variant                   p = 0.547188  (x=9, ξ(x)=652, J=748)

  ── DIEHARD unique tests (16000000 words) ──
  [PASS] diehard::birthday_spacings                        p = 0.999063  (m=512, year=2^24, samples=500)
  [PASS] diehard::binary_rank_32x32                        p = 0.190066  (32×32, N=40000, χ²=4.7621)
  [PASS] diehard::binary_rank_31x31                        p = 0.937695  (31×31, N=40000, χ²=0.4123)
  [PASS] diehard::binary_rank_6x8                          p = 0.757471  (N=100000, χ²=0.5555)
  [PASS] diehard::bitstream                                p = 1.000000  (window=20-bit, stream=2^21, repeats=20)
  [PASS] diehard::opso                                     p = 0.199484  (missing=142282, z=1.2830)
  [PASS] diehard::oqso                                     p = 0.872201  (missing=141957, z=0.1609)
  [PASS] diehard::dna                                      p = 0.911702  (missing=141873, z=-0.1109)
  [PASS] diehard::count_ones_stream                        p = 0.699139  (n=256000, Q5=3122.32, Q4=649.64, Q5-Q4=2472.67, Z=-0.3865)
  [PASS] diehard::parking_lot                              p = 0.999637  (attempts=12000, mean=3523, σ=21.9, repeats=10)
  [PASS] diehard::minimum_distance_2d                      p = 1.000000  (n=8000, side=10000, repeats=100 [BUGGY FORMULA — see diehard_2dsphere.c; use minimum_distance_nd(d=2) instead])
  [PASS] diehard::spheres_3d                               p = 1.000000  (n=4000, cube=1000, repeats=20)
  [PASS] diehard::squeeze                                  p = 0.751895  (trials=100000, cells=43, df=37, χ²=30.8477)
  [PASS] diehard::runs_up                                  p = 0.999637  (seq_len=10000, repeats=10, covariance-form)
  [PASS] diehard::runs_down                                p = 0.999637  (seq_len=10000, repeats=10, covariance-form)
  [PASS] diehard::craps_wins                               p = 0.924667  (games=200000, wins=98607, z=0.0946)
  [PASS] diehard::craps_throws                             p = 0.587103  (games=200000, df=21, χ²=18.9694)

  ── DIEHARDER unique tests (16000000 words) ──
  [PASS] dieharder::minimum_distance_nd                    p = 1.000000  (d=5, n=8000, repeats=100)
  [PASS] dieharder::permutations                           p = 0.116496  (t=5, n=100000, χ²=137.6336)
  [PASS] dieharder::lagged_sums                            p = 0.070397  (lag=1, tsamples=8000000, sum=4001477.3237, z=1.8093)
  [PASS] dieharder::lagged_sums                            p = 0.203789  (lag=100, tsamples=158415, sum=79353.5143, z=1.2708)
  [PASS] dieharder::ks_uniform                             p = 0.040866  (tsamples=16000000)
  [PASS] dieharder::byte_distribution                      p = 0.814388  (tsamples=5333333, streams=9, expected/cell=20833.3, χ²=2234.2950)
  [PASS] dieharder::dct                                    p = 0.124867  (ntuple=256, tsamples=5000, χ²=281.1776)
  [FAIL] dieharder::monobit2                               p = 0.008160  (tsamples=16000000, ntuple=11, block_sizes=2..2048)
  [PASS] dieharder::fill_tree_count                        p = 0.655086  (trials=100000, χ²=6.8274, start=4, end=14)
  [PASS] dieharder::fill_tree_position                     p = 0.224636  (trials=100000, χ²=18.7638)
  [PASS] dieharder::bit_distribution                       p = 0.891285  (width=1, pattern=0, tsamples=8000000, bsamples=64, df=36, χ²=25.9701)
  [PASS] dieharder::bit_distribution                       p = 0.891285  (width=1, pattern=1, tsamples=8000000, bsamples=64, df=36, χ²=25.9701)
  [PASS] dieharder::bit_distribution                       p = 0.752755  (width=2, pattern=0, tsamples=4000000, bsamples=64, df=30, χ²=24.4188)
  [PASS] dieharder::bit_distribution                       p = 0.390740  (width=2, pattern=1, tsamples=4000000, bsamples=64, df=30, χ²=31.5083)
  [PASS] dieharder::bit_distribution                       p = 0.542661  (width=2, pattern=2, tsamples=4000000, bsamples=64, df=30, χ²=28.5246)
  [PASS] dieharder::bit_distribution                       p = 0.172761  (width=2, pattern=3, tsamples=4000000, bsamples=64, df=30, χ²=37.1518)
  [PASS] dieharder::bit_distribution                       p = 0.768021  (width=3, pattern=0, tsamples=2666666, bsamples=64, df=21, χ²=16.0290)
  [PASS] dieharder::bit_distribution                       p = 0.676337  (width=3, pattern=1, tsamples=2666666, bsamples=64, df=21, χ²=17.5651)
  [PASS] dieharder::bit_distribution                       p = 0.243148  (width=3, pattern=2, tsamples=2666666, bsamples=64, df=21, χ²=25.0933)
  [PASS] dieharder::bit_distribution                       p = 0.390325  (width=3, pattern=3, tsamples=2666666, bsamples=64, df=21, χ²=22.1603)
  [PASS] dieharder::bit_distribution                       p = 0.993195  (width=3, pattern=4, tsamples=2666666, bsamples=64, df=21, χ²=8.4012)
  [PASS] dieharder::bit_distribution                       p = 0.471847  (width=3, pattern=5, tsamples=2666666, bsamples=64, df=21, χ²=20.7897)
  [PASS] dieharder::bit_distribution                       p = 0.908193  (width=3, pattern=6, tsamples=2666666, bsamples=64, df=21, χ²=13.0123)
  [PASS] dieharder::bit_distribution                       p = 0.864620  (width=3, pattern=7, tsamples=2666666, bsamples=64, df=21, χ²=14.1148)
  [PASS] dieharder::bit_distribution                       p = 0.951683  (width=4, pattern=0, tsamples=2000000, bsamples=64, df=14, χ²=6.5186)
  [PASS] dieharder::bit_distribution                       p = 0.013935  (width=4, pattern=1, tsamples=2000000, bsamples=64, df=14, χ²=28.0680)
  [PASS] dieharder::bit_distribution                       p = 0.061485  (width=4, pattern=2, tsamples=2000000, bsamples=64, df=14, χ²=22.9260)
  [PASS] dieharder::bit_distribution                       p = 0.712914  (width=4, pattern=3, tsamples=2000000, bsamples=64, df=14, χ²=10.6548)
  [PASS] dieharder::bit_distribution                       p = 0.481666  (width=4, pattern=4, tsamples=2000000, bsamples=64, df=14, χ²=13.5771)
  [PASS] dieharder::bit_distribution                       p = 0.834006  (width=4, pattern=5, tsamples=2000000, bsamples=64, df=14, χ²=8.9537)
  [PASS] dieharder::bit_distribution                       p = 0.980281  (width=4, pattern=6, tsamples=2000000, bsamples=64, df=14, χ²=5.3523)
  [PASS] dieharder::bit_distribution                       p = 0.599506  (width=4, pattern=7, tsamples=2000000, bsamples=64, df=14, χ²=12.0846)
  [PASS] dieharder::bit_distribution                       p = 0.857914  (width=4, pattern=8, tsamples=2000000, bsamples=64, df=14, χ²=8.5642)
  [FAIL] dieharder::bit_distribution                       p = 0.002910  (width=4, pattern=9, tsamples=2000000, bsamples=64, df=14, χ²=32.9700)
  [PASS] dieharder::bit_distribution                       p = 0.621847  (width=4, pattern=10, tsamples=2000000, bsamples=64, df=14, χ²=11.8064)
  [PASS] dieharder::bit_distribution                       p = 0.171824  (width=4, pattern=11, tsamples=2000000, bsamples=64, df=14, χ²=18.8230)
  [PASS] dieharder::bit_distribution                       p = 0.351131  (width=4, pattern=12, tsamples=2000000, bsamples=64, df=14, χ²=15.4036)
